id,name,headquarter,street,house_number,place_id,phone,fax,director_id,homepage_id,net_id
1,Academie Hoboken              Muziek-Woord,false,Lange Riddersstraat,48,62,,,1,1,1
2,Academie Hoboken              Muziek-Woord,false,Wittestraat,116,64,,,1,1,1
3,Academie Hoboken              Muziek-Woord,false,Jan De Voslei,6,64,,,1,1,1
4,Academie Hoboken              Muziek-Woord,true,Lageweg,141,1061,38304109,38304109,1,1,1
5,Academie Hoboken              Muziek-Woord,false,Montessoristraat,15,1061,,,1,1,1
6,Academie Hoboken              Muziek-Woord,false,Weerstandlaan,141,1061,,,1,1,1
7,GO! muziekacademie Anderlecht,true,Dapperheidsplein,5,45,25220551,25242838,2,2,2
8,GO! muziekacademie Anderlecht,false,Paalstraat,61,2249,,,2,2,2
9,GO! muziekacademie Anderlecht,false,Jan Vanderstraetenstraat,91,2288,,,2,2,2
10,GO! muziekacademie Anderlecht,false,Topstraat,15,2288,,,2,2,2
11,Art'Iz,false,Kaaistraat,80,80,,,3,3,1
12,Art'Iz,false,Schoolstraat,4_A  ,1141,,,3,3,1
13,Art'Iz,false,Brigandsstraat,15,1141,,,3,3,1
14,Art'Iz,false,Prinsessestraat,13,1151,,,3,3,1
15,Art'Iz,false,Hogestraat,66,1151,,,3,3,1
16,Art'Iz,true,Kruisstraat,13,1151,51303435,,3,3,1
17,Art'Iz,false,Leenstraat,110,1151,,,3,3,1
18,Art'Iz,false,A. Dassonvillelaan,3,1351,,,3,3,1
19,Art'Iz,false,Markt,     ,1839,,,3,3,1
20,Art'Iz,false,Rollegemkapelsestraat,16,2238,,,3,3,1
21,Stedelijk Conservatorium,false,Astridlaan,86,92,,,4,4,1
22,Stedelijk Conservatorium,true,Sint-Jakobsstraat,23,378,50334330,50330137,4,4,1
23,Stedelijk Conservatorium,false,Achiel Van Ackerplein,1,378,,,4,4,1
24,Stedelijk Conservatorium,false,Sportstraat,2,1834,,,4,4,1
25,Stedelijk Conservatorium,false,Schooldreef,6,1834,,,4,4,1
