id,sort_id,brand_id,type_id,finish_id,serial_number,academy_id,room
1,1,1,1,1,4135086,29,203
2,1,1,3,1,6252160,29,202
3,1,1,2,1,S 5533937,677,3
4,1,1,2,1,5155339,678,Atelier 3
5,1,1,1,1,H2245613,31,RKG lokaal
6,1,1,1,1,AH2466815,679,A2
7,1,1,3,1,6252281,679,A1
8,1,1,1,1,H2248534,36,MU -1.1
9,1,1,1,1,H2701149,36,MU -1.4
10,1,1,1,1,A4387703,36,MU -1.3
11,1,199,4,1,H00415,36,MU 0.3
12,1,1,5,1,E334958,36,MU 0.1
13,2,1,6,1,2842015,36,MU 0.4
14,2,1,6,1,2944634,36,DA 0.3
15,2,2,10,1,2664907,36,MU -1.2
16,2,1,6,1,J3469768,36,DA 0.1
17,1,19,,1,125359,37,zaal 2
18,1,1,3,1,6249530,37,zaal 4
19,1,12,20,1,169373,37,zaal 3
20,1,1,3,1,6221258,32,Hobby 1
21,2,1,6,1,3469767,32,Danszaal
22,1,4,21,1,123110,32,Hobby 2
23,1,1,1,1,A4387702,42,2.04
24,1,1,1,1,A4847656,42,2.10
25,2,1,16,1,D3250497,42,2.05
26,1,1,1,1,A3714710,42,2.01
27,2,1,16,1,1865499877,42,2.12
28,1,1,3,1,6083193,42,2.06
29,1,1,3,1,56252170,42,2.02
30,1,1,3,1,56236173,42,2.03
31,2,2,10,1,2667132,42,2.11
32,2,1,6,1,2839597,680,Sporthal
33,1,1,1,1,H2245642,41,De Reppe
34,1,1,1,1,A4426499,41,Expressielokaal
35,1,1,3,1,6286593,41,Theorielokaal
36,1,18,,1,/,681,1.32
37,1,1,1,1,H2553174,681,1.31
38,1,1,1,1,A4484446,681,1.11
39,1,1,1,1,H3401757,681,1.33
40,1,1,3,1,6174780,681,1.12
41,1,,,1,336806,33,
